"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"112","gemfibrozil","DTXSID0020652","NOEC",40000,"ug/L","Japanese Medaka","Fish",250.338
"113","gemfibrozil","DTXSID0020652","NOEC",100,"ug/L","Common Eel","Fish",250.338
"114","gemfibrozil","DTXSID0020652","NOEC",1000,"ug/L","Senagales Sole","Fish",250.338
"115","gemfibrozil","DTXSID0020652","NOEC",1.5,"ug/L","Goldfish","Fish",250.338
"116","gemfibrozil","DTXSID0020652","NOEC",2000,"ug/L","Common Eel","Fish",250.338
"117","gemfibrozil","DTXSID0020652","NOEC",10,"ug/L","Zebra Danio","Fish",250.338
"118","gemfibrozil","DTXSID0020652","NOEC",16000,"ug/L","Zebra Danio","Fish",250.338
"119","gemfibrozil","DTXSID0020652","NOEC",20000,"ug/L","Common Eel","Fish",250.338
"120","gemfibrozil","DTXSID0020652","NOEC",25.0338,"ug/L","Zebra Danio","Fish",250.338
"121","gemfibrozil","DTXSID0020652","NOEC",60000,"ug/L","Rainbow Trout","Fish",250.338
"122","gemfibrozil","DTXSID0020652","NOEC",87000,"ug/L","Rainbow Trout","Fish",250.338
"123","gemfibrozil","DTXSID0020652","NOEC",125.169,"ug/L","Zebra Danio","Fish",250.338
"124","gemfibrozil","DTXSID0020652","NOEC",150,"ug/L","Gilthead Seabream","Fish",250.338
"125","gemfibrozil","DTXSID0020652","NOEC",152000,"ug/L","Rainbow Trout","Fish",250.338
"126","gemfibrozil","DTXSID0020652","NOEC",2e+05,"ug/L","Common Eel","Fish",250.338
"127","gemfibrozil","DTXSID0020652","NOEC",250.338,"ug/L","Goldfish","Fish",250.338
"128","gemfibrozil","DTXSID0020652","NOEC",1500,"ug/L","Rainbow Trout","Fish",250.338
"129","gemfibrozil","DTXSID0020652","NOEC",2503.38,"ug/L","Goldfish","Fish",250.338
"130","gemfibrozil","DTXSID0020652","NOEC",6258.45,"ug/L","Rainbow Trout","Fish",250.338
"131","gemfibrozil","DTXSID0020652","NOEC",15000,"ug/L","Gilthead Seabream","Fish",250.338
"132","gemfibrozil","DTXSID0020652","NOEC",25033.8,"ug/L","Sea Bass","Fish",250.338
"133","gemfibrozil","DTXSID0020652","NOEC",400,"ug/L","Japanese Medaka","Fish",250.338
"134","gemfibrozil","DTXSID0020652","NOEC",250338,"ug/L","Common Carp","Fish",250.338
"135","gemfibrozil","DTXSID0020652","NOEC",312922,"ug/L","Japanese Medaka","Fish",250.338
"136","carbamazepine","DTXSID4022731","NOEC",0.01,"ug/L","Zebra Danio","Fish",236.274
"137","carbamazepine","DTXSID4022731","NOEC",0.89,"ug/L","Rainbow Trout","Fish",236.274
"138","carbamazepine","DTXSID4022731","NOEC",0.9,"ug/L","Chinese Rare Minnow","Fish",236.274
"139","carbamazepine","DTXSID4022731","NOEC",0.91,"ug/L","Chinese Rare Minnow","Fish",236.274
"140","carbamazepine","DTXSID4022731","NOEC",2e+06,"ug/L","Japanese Medaka","Fish",236.274
"141","carbamazepine","DTXSID4022731","NOEC",1e+07,"ug/L","Japanese Medaka","Fish",236.274
"142","carbamazepine","DTXSID4022731","NOEC",8.75,"ug/L","Chinese Rare Minnow","Fish",236.274
"143","carbamazepine","DTXSID4022731","NOEC",2.4e+07,"ug/L","Japanese Medaka","Fish",236.274
"144","carbamazepine","DTXSID4022731","NOEC",61.5,"ug/L","Japanese Medaka","Fish",236.274
"145","carbamazepine","DTXSID4022731","NOEC",82.2,"ug/L","Chinese Rare Minnow","Fish",236.274
"146","carbamazepine","DTXSID4022731","NOEC",82.9,"ug/L","Chinese Rare Minnow","Fish",236.274
"147","carbamazepine","DTXSID4022731","NOEC",180,"ug/L","Rainbow Trout","Fish",236.274
"148","carbamazepine","DTXSID4022731","NOEC",862,"ug/L","Fathead Minnow","Fish",236.274
"149","carbamazepine","DTXSID4022731","NOEC",1780,"ug/L","Rainbow Trout","Fish",236.274
"150","carbamazepine","DTXSID4022731","NOEC",4489.19,"ug/L","Zebra Danio","Fish",236.274
"151","carbamazepine","DTXSID4022731","NOEC",6150,"ug/L","Japanese Medaka","Fish",236.274
"152","carbamazepine","DTXSID4022731","NOEC",25000,"ug/L","Zebra Danio","Fish",236.274
"153","carbamazepine","DTXSID4022731","NOEC",30600,"ug/L","Zebra Danio","Fish",236.274
"154","carbamazepine","DTXSID4022731","NOEC",1e+05,"ug/L","African Clawed Frog","Amphibians",236.274
